EpochTime,PolarStrap.BeatSpacing
1350277390.993,0.999
1350277391.965,0.972
1350277392.897,0.933
1350277393.89,0.993
1350277394.885,0.994
1350277395.812,0.928
1350277396.78,0.968
1350277397.791,1.011
1350277398.735,0.944
1350277399.68,0.945
1350277400.639,0.959
1350277401.568,0.929
1350277402.47,0.901
1350277403.388,0.919
1350277404.279,0.891
1350277405.151,0.872
1350277406.051,0.899
1350277406.936,0.886
1350277407.799,0.862
1350277408.698,0.899
1350277409.67,0.972
1350277410.656,0.986
1350277411.6,0.944
1350277412.54,0.939
1350277413.488,0.948
1350277414.388,0.899
1350277415.302,0.914
1350277416.238,0.937
1350277417.189,0.951
1350277418.113,0.924
1350277419.09,0.977
1350277420.108,1.019
1350277421.087,0.979
1350277422.04,0.953
1350277422.992,0.952
1350277423.873,0.881
1350277424.764,0.892
1350277425.702,0.938
1350277426.632,0.93
1350277427.571,0.939
1350277428.545,0.974
1350277429.511,0.966
1350277430.432,0.922
1350277431.381,0.948
1350277432.35,0.97
1350277433.289,0.938
1350277434.231,0.942
1350277435.171,0.939
1350277436.071,0.9
1350277436.982,0.911
1350277437.951,0.969
1350277438.911,0.96
1350277439.836,0.925
1350277440.788,0.952
1350277441.745,0.957
1350277442.673,0.928
1350277443.653,0.98
1350277444.62,0.967
1350277445.524,0.904
1350277446.429,0.904
1350277447.308,0.88
1350277448.167,0.858
1350277449.068,0.901
1350277450,0.932
1350277450.914,0.914
1350277451.887,0.973
1350277452.875,0.988
1350277453.791,0.916
1350277454.733,0.942
1350277455.664,0.931
1350277456.555,0.891
1350277457.471,0.916
1350277458.395,0.925
1350277459.291,0.896
1350277460.19,0.899
1350277461.1,0.91
1350277461.984,0.884
1350277462.895,0.911
1350277463.858,0.963
1350277464.828,0.97
1350277465.796,0.968
1350277466.776,0.98
1350277467.712,0.936
1350277468.635,0.923
1350277469.594,0.959
1350277470.504,0.91
1350277471.394,0.891
1350277472.305,0.91
1350277473.171,0.866
1350277474.002,0.831
1350277474.814,0.812
1350277475.594,0.779
1350277476.369,0.775
1350277477.169,0.8
1350277478.071,0.902
1350277479.046,0.975
1350277480.025,0.979
1350277481.063,1.038
1350277482.097,1.033
1350277483.047,0.95
1350277483.985,0.938
1350277484.892,0.907
1350277485.75,0.857
1350277486.61,0.86
1350277487.486,0.876
1350277488.378,0.892
1350277489.351,0.974
1350277490.382,1.03
1350277491.356,0.975
1350277492.369,1.013
1350277493.376,1.007
1350277494.357,0.981
1350277495.419,1.062
1350277496.483,1.064
1350277497.484,1.001
1350277498.486,1.002
1350277499.478,0.992
1350277500.36,0.882
1350277501.097,0.737
1350277501.997,0.899
1350277502.824,0.827
1350277503.644,0.82
1350277504.472,0.827
1350277505.33,0.858
1350277506.23,0.9
1350277507.16,0.93
1350277508.14,0.98
1350277509.136,0.995
1350277510.15,1.015
1350277511.222,1.071
1350277512.265,1.044
1350277513.283,1.018
1350277514.305,1.021
1350277515.287,0.982
1350277516.223,0.937
1350277517.157,0.934
1350277518.06,0.903
1350277518.92,0.859
1350277519.811,0.892
1350277520.722,0.911
1350277521.623,0.9
1350277522.574,0.951
1350277523.549,0.975
1350277524.495,0.946
1350277525.475,0.98
1350277526.429,0.953
1350277527.322,0.894
1350277528.231,0.909
1350277529.141,0.91
1350277629.059,0.9
1350277629.968,0.908
1350277630.859,0.892
1350277631.725,0.866
1350277632.604,0.879
1350277633.52,0.916
1350277634.422,0.901
1350277635.296,0.874
1350277636.196,0.9
1350277637.105,0.909
1350277637.992,0.887
1350277638.915,0.923
1350277639.836,0.921
1350277640.738,0.902
1350277641.645,0.907
1350277642.565,0.92
1350277643.476,0.911
1350277644.329,0.853
1350277645.212,0.883
1350277646.133,0.921
1350277647.01,0.877
1350277647.843,0.833
1350277648.667,0.824
1350277649.498,0.831
1350277650.292,0.794
1350277651.049,0.757
1350277651.789,0.74
1350277652.545,0.756
1350277653.323,0.778
1350277654.115,0.792
1350277654.894,0.779
1350277655.651,0.757
1350277656.416,0.765
1350277657.192,0.776
1350277657.997,0.805
1350277658.821,0.824
1350277659.631,0.81
1350277660.468,0.837
1350277661.33,0.862
1350277662.203,0.873
1350277663.069,0.866
1350277663.972,0.903
1350277664.939,0.967
1350277665.94,1.001
1350277666.936,0.996
1350277667.937,1.001
1350277668.925,0.987
1350277669.892,0.968
1350277670.832,0.939
1350277671.766,0.935
1350277672.706,0.939
1350277673.642,0.937
1350277674.629,0.986
1350277675.653,1.024
1350277676.631,0.978
1350277677.578,0.947
1350277678.503,0.925
1350277679.41,0.907
1350277680.264,0.854
1350277681.097,0.833
1350277681.958,0.86
1350277682.812,0.854
1350277683.636,0.823
1350277684.48,0.845
1350277685.369,0.889
1350277686.28,0.911
1350277687.207,0.927
1350277688.137,0.93
1350277689.005,0.868
1350277689.86,0.855
1350277690.709,0.849
1350277691.571,0.862
1350277692.451,0.88
1350277693.339,0.888
1350277694.212,0.873
1350277695.085,0.873
1350277695.953,0.868
1350277696.824,0.871
1350277697.688,0.864
1350277698.521,0.833
1350277699.355,0.834
1350277700.2,0.845
1350277701.07,0.87
1350277701.976,0.906
1350277702.878,0.901
1350277703.722,0.844
1350277704.571,0.85
1350277705.391,0.82
1350277706.178,0.786
1350277706.944,0.767
1350277707.711,0.767
1350277708.487,0.776
1350277709.253,0.766
1350277710,0.747
1350277710.694,0.694
1350277711.53,0.836
1350277712.346,0.815
1350277713.163,0.817
1350277713.992,0.829
1350277714.797,0.805
1350277715.575,0.778
1350277716.32,0.745
1350277717.063,0.743
1350277717.8,0.736
1350277718.549,0.749
1350277719.332,0.783
1350277720.164,0.832
1350277721.024,0.86
1350277721.953,0.929
1350277722.955,1.002
1350277723.959,1.004
1350277725.021,1.062
1350277726.11,1.089
1350277727.224,1.114
1350277728.303,1.078
1350277729.325,1.022
1350277730.299,0.974
1350277731.195,0.896
1350277732.05,0.854
1350277732.948,0.898
1350277733.893,0.945
1350277734.875,0.981
1350277735.88,1.005
1350277736.821,0.941
1350277737.777,0.956
1350277738.783,1.006
1350277739.754,0.971
1350277740.649,0.896
1350277741.558,0.909
1350277742.478,0.92
1350277743.387,0.908
1350277744.312,0.926
1350277745.183,0.871
1350277746.037,0.854
1350277746.902,0.865
1350277747.788,0.886
1350277748.751,0.963
1350277749.766,1.016
1350277750.768,1.002
1350277751.838,1.069
1350277752.914,1.076
1350277753.864,0.95
1350277754.841,0.977
1350277755.833,0.992
1350277756.794,0.961
1350277757.792,0.998
1350277758.868,1.076
1350277768.497,0.967
1350277769.495,0.998
1350277770.483,0.988
1350277771.448,0.965
1350277772.371,0.923
1350277773.243,0.872
1350277774.105,0.862
1350277774.938,0.833
1350277775.742,0.804
1350277776.082,0.341
1350277776.54,0.457
1350277777.038,0.498
1350277777.326,0.288
1350277777.764,0.438
1350277778.052,0.288
1350277778.371,0.318
1350277779.465,1.095
1350277780.238,0.772
1350277780.542,0.305
1350277963.887,0.253
1350277964.459,0.571
1350277964.86,0.401
1350277965.17,0.311
1350277966.035,0.864
1350277966.326,0.291
1350277967.458,1.132
1350277968.017,0.56
1350277968.581,0.563
1350277969.144,0.563
1350277969.71,0.566
1350277970.277,0.566
1350277970.857,0.58
1350277971.445,0.588
1350277972.057,0.612
1350277972.678,0.621
1350277973.302,0.624
1350277973.933,0.631
1350277974.565,0.632
1350277975.199,0.634
1350277975.817,0.618
1350277976.427,0.61
1350277976.716,0.289
1350277977.006,0.29
1350277981.196,4.189
1350277981.789,0.593
1350277982.376,0.587
1350277982.958,0.582
1350277983.541,0.583
1350277984.125,0.584
1350277984.714,0.59
1350277985.303,0.589
1350277985.897,0.594
1350277986.504,0.607
1350277987.112,0.607
1350277987.736,0.624
1350277988.367,0.631
1350277989.001,0.634
1350277989.637,0.637
1350277990.284,0.646
1350277990.933,0.649
1350277991.578,0.645
1350277992.213,0.636
1350277992.846,0.633
1350277993.501,0.654
1350277994.215,0.715
1350277994.891,0.676
1350277995.563,0.672
1350277995.884,0.321
1350277996.186,0.302
1350277998.156,1.97
1350277998.807,0.651
1350277999.461,0.654
1350278000.149,0.688
1350278000.838,0.689
1350278001.531,0.692
1350278002.235,0.704
1350278002.939,0.704
1350278003.627,0.688
1350278004.317,0.69
1350278005.041,0.724
1350278005.343,0.303
1350278005.741,0.397
1350278006.426,0.686
1350278007.13,0.704
1350278007.84,0.71
1350278008.532,0.691
1350278009.209,0.677
1350278009.887,0.679
1350278010.568,0.681
1350278011.231,0.663
1350278011.883,0.652
1350278012.527,0.644
1350278013.162,0.635
1350278013.779,0.617
1350278014.39,0.611
1350278014.995,0.604
1350278015.609,0.614
1350278016.23,0.621
1350278016.863,0.633
1350278017.542,0.679
1350278018.133,0.592
1350278018.746,0.612
1350278019.366,0.62
1350278019.995,0.629
1350278020.632,0.638
1350278021.256,0.624
1350278021.896,0.64
1350278022.543,0.646
1350278023.179,0.637
1350278023.814,0.635
1350278024.442,0.628
1350278025.062,0.62
1350278025.669,0.607
1350278026.269,0.6
1350278026.861,0.592
1350278027.444,0.583
1350278028.026,0.582
1350278028.61,0.584
1350278029.198,0.588
1350278029.798,0.601
1350278030.398,0.6
1350278030.993,0.595
1350278031.594,0.602
1350278032.203,0.608
1350278032.811,0.608
1350278033.42,0.609
1350278034.024,0.604
1350278034.627,0.603
1350278035.236,0.609
1350278035.844,0.608
1350278036.457,0.612
1350278037.07,0.613
1350278037.685,0.615
1350278038.293,0.608
1350278038.904,0.61
1350278039.515,0.611
1350278040.124,0.608
1350278040.733,0.609
1350278041.34,0.607
1350278041.96,0.62
1350278042.602,0.642
1350278043.249,0.646
1350278043.896,0.647
1350278044.537,0.641
1350278045.171,0.635
1350278045.806,0.635
1350278046.436,0.63
1350278047.053,0.617
1350278047.662,0.608
1350278048.324,0.618
1350278048.94,0.616
1350278049.561,0.621
1350278050.181,0.62
1350278050.788,0.607
1350278051.386,0.598
1350278051.981,0.595
1350278052.573,0.592
1350278053.173,0.601
1350278053.779,0.605
1350278054.38,0.602
1350278054.99,0.609
1350278055.604,0.614
1350278056.223,0.619
1350278056.848,0.625
1350278082.535,0.6
1350278083.13,0.596
1350278083.722,0.592
